정류장명,위도,경도,도시명
경복궁역1번출구,37.5761167,126.9715833,서울특별시 종로구 내자동
서울경찰청.경복궁역,37.5758167,126.9714833,서울특별시 종로구 내자동
경복궁역(경유),37.5757,126.9725833,서울특별시 종로구 내자동
사직단.어린이도서관,37.5751333,126.9680167,서울특별시 종로구 사직동
사직단,37.5748833,126.9681833,서울특별시 종로구 사직동
KT광화문지사,37.5724333,126.9773167,서울특별시 종로구 세종로
광화문역6번출구,37.5700333,126.97625,서울특별시 종로구 세종로
세종문화회관,37.57265,126.9763667,서울특별시 종로구 세종로
광화문.광화문빌딩,37.5695167,126.97675,서울특별시 종로구 세종로
세종문화회관,37.5734,126.97635,서울특별시 종로구 세종로
광화문(중),37.5701333,126.97625,서울특별시 종로구 세종로
광화문,37.5703333,126.9758333,서울특별시 종로구 신문로1가
서울역사박물관,37.5699333,126.9720333,서울특별시 종로구 신문로1가
서울역사박물관.경교장.강북삼성병원,37.5700333,126.9713,서울특별시 종로구 신문로2가
서울역사박물관.경희궁앞(중),37.5690667,126.9703167,서울특별시 종로구 신문로2가
경복궁,37.5756167,126.9787333,서울특별시 종로구 중학동
종로1가,37.5703667,126.98045,서울특별시 종로구 종로1가
광화문(중),37.57025,126.9777667,서울특별시 종로구 종로1가
종로1가(중),37.5701333,126.9809,서울특별시 종로구 종로1가
종로1가(중),37.57025,126.9813833,서울특별시 종로구 종로1가
조계사.종로경찰서,37.5724,126.9832167,서울특별시 종로구 견지동
조계사.종로경찰서,37.5725167,126.9828167,서울특별시 종로구 견지동
안국동,37.57465,126.9827167,서울특별시 종로구 견지동
조계사,37.5727667,126.9832,서울특별시 종로구 견지동
종로2가.삼일교(중),37.5686833,126.9875333,서울특별시 종로구 관철동
청계2가교차로,37.5685333,126.98785,서울특별시 종로구 관철동
종로2가사거리(중),37.5697833,126.9877333,서울특별시 종로구 종로2가
종로2가(중),37.5701167,126.9855333,서울특별시 종로구 종로2가
종로2가,37.57025,126.9862333,서울특별시 종로구 종로2가
덕성여중고,37.57585,126.9819667,서울특별시 종로구 송현동
종로3가.탑골공원(중),37.5702333,126.9895667,서울특별시 종로구 종로3가
종로3가.탑골공원(중),37.5703667,126.9899833,서울특별시 종로구 종로3가
종로4가.종묘(중),37.5705,126.9947167,서울특별시 종로구 종로3가
원남동사거리(경유),37.5713167,126.9975667,서울특별시 종로구 인의동
원남동,37.5745667,126.9973333,서울특별시 종로구 원남동
현대그룹빌딩,37.57585,127.0005333,서울특별시 종로구 연지동
종로4가.종묘(중),37.5706667,126.9952833,서울특별시 종로구 종로4가
종로5가.광장시장(중),37.57075,126.99885,서울특별시 종로구 종로4가
종로5가.광장시장(중),37.5709167,126.9993167,서울특별시 종로구 종로4가
종로5가.효제동.김상옥의거터,37.5745,127.0022167,서울특별시 종로구 효제동
종로5가.효제초등학교,37.5729167,127.0021333,서울특별시 종로구 효제동
종로6가.동대문종합시장(중),37.5709833,127.00345,서울특별시 종로구 종로5가
종로6가.동대문종합시장(중),37.5711667,127.0057,서울특별시 종로구 종로5가
이화사거리(경유),37.5712667,127.0021333,서울특별시 종로구 종로5가
동대문,37.5717667,127.0084167,서울특별시 종로구 종로6가
종로중부새마을금고,37.5724167,127.0066,서울특별시 종로구 종로6가
이화동(이화장),37.5759667,127.00325,서울특별시 종로구 이화동
창경궁.서울대학교병원(중),37.5792333,126.9965667,서울특별시 종로구 연건동
충신동,37.5740667,127.0062833,서울특별시 종로구 충신동
방송통신대.이화장,37.5781667,127.00245,서울특별시 종로구 동숭동
혜화역2번출구.마로니에공원,37.58115,127.0022667,서울특별시 종로구 동숭동
혜화동로터리.여운형활동터(중),37.5862333,127.00175,서울특별시 종로구 혜화동
혜화역.동성중고(장면총리가옥),37.5846,127.0017167,서울특별시 종로구 혜화동
혜화동로터리(경유),37.58575,127.0011833,서울특별시 종로구 혜화동
혜화동로터리(경유),37.58565,127.0014833,서울특별시 종로구 혜화동
명륜3가.성대입구(중),37.5827,126.9983333,서울특별시 종로구 명륜4가
동대문역.흥인지문(중),37.5721,127.0124833,서울특별시 종로구 창신동
동대문역.흥인지문(중),37.5723167,127.01345,서울특별시 종로구 창신동
신설동로터리,37.5755333,127.0226833,서울특별시 종로구 숭인동
숭인동,37.5743167,127.0204333,서울특별시 종로구 숭인동
동묘앞(중),37.5737667,127.0185667,서울특별시 종로구 숭인동
동묘앞(중),37.5742167,127.0195333,서울특별시 종로구 숭인동
서대문.서울시교육청,37.5682833,126.9645167,서울특별시 종로구 교남동
서대문역사거리.적십자병원,37.5670167,126.96755,서울특별시 종로구 평동
서대문역사거리(중),37.5661833,126.9668833,서울특별시 종로구 평동
영천시장(중),37.5697833,126.96285,서울특별시 종로구 교북동
독립문고가차도(경유),37.57195,126.9607333,서울특별시 종로구 교북동
구기터널.삼성출판박물관,37.6086333,126.9562,서울특별시 종로구 구기동
구기터널.삼성출판박물관,37.6083333,126.9564167,서울특별시 종로구 구기동
구기동,37.607,126.9585333,서울특별시 종로구 구기동
구기동,37.6070667,126.9590333,서울특별시 종로구 구기동
갑을씨티텔앞,37.6044,126.9635333,서울특별시 종로구 평창동
평창파출소,37.60535,126.9660333,서울특별시 종로구 평창동
평창동주민센터,37.6066333,126.9695667,서울특별시 종로구 평창동
일성아파트,37.6088,126.973,서울특별시 종로구 평창동
롯데아파트,37.6104667,126.9764667,서울특별시 종로구 평창동
롯데아파트,37.6100333,126.9761333,서울특별시 종로구 평창동
벽산평창힐스아파트,37.60825,126.9728833,서울특별시 종로구 평창동
예능교회,37.6065333,126.9700833,서울특별시 종로구 평창동
서울예술고등학교.평창동주민센터,37.6058167,126.9676167,서울특별시 종로구 평창동
화정박물관,37.6045333,126.9648,서울특별시 종로구 평창동
평창동삼성아파트,37.6111167,126.9786833,서울특별시 종로구 평창동
국민은행세검정지점,37.6047,126.9608833,서울특별시 종로구 신영동
국민은행세검정지점,37.6047667,126.96125,서울특별시 종로구 신영동
독립문역.한성과학고(중),37.5757333,126.95645,서울특별시 종로구 무악동
을지로입구역.광교,37.5675333,126.9824667,서울특별시 중구 다동
서울신문사,37.5684,126.9773667,서울특별시 중구 태평로1가
프레스센터,37.5675,126.97735,서울특별시 중구 태평로1가
을지로입구.시청입구,37.56615,126.9810833,서울특별시 중구 을지로1가
서울시청,37.56615,126.9807667,서울특별시 중구 을지로1가
을지로입구.로얄호텔,37.5659833,126.9852833,서울특별시 중구 을지로2가
을지로2가.기업은행본점.서울노동청,37.56625,126.9865333,서울특별시 중구 을지로2가
을지로2가.파인에비뉴,37.56605,126.9888167,서울특별시 중구 을지로2가
남대문세무서.국가인권위원회,37.5652333,126.9878,서울특별시 중구 을지로2가
SKT타워(경유),37.5662167,126.9852667,서울특별시 중구 을지로2가
우리은행종로지점,37.5676833,126.9829333,서울특별시 중구 남대문로1가
광교,37.5679833,126.98295,서울특별시 중구 남대문로1가
시청광장,37.5652,126.9789,서울특별시 중구 소공동
남대문시장.회현역,37.5583167,126.9777667,서울특별시 중구 남창동
남대문시장.회현역,37.5578167,126.9777167,서울특별시 중구 남창동
시청앞,37.56235,126.9766,서울특별시 중구 태평로2가
삼성본관앞,37.5620667,126.9759,서울특별시 중구 태평로2가
시청서소문2청사,37.5628667,126.9762167,서울특별시 중구 태평로2가
신한은행본점,37.5611167,126.9755167,서울특별시 중구 태평로2가
시청교차로(경유),37.56455,126.9767667,서울특별시 중구 태평로2가
롯데백화점,37.5644667,126.98215,서울특별시 중구 남대문로2가
해운센터.롯데영플라자,37.5627,126.9814833,서울특별시 중구 남대문로2가
롯데영프라자,37.5630333,126.9820833,서울특별시 중구 남대문로2가
명동입구,37.5646833,126.9826,서울특별시 중구 남대문로2가
명동입구B,37.5644333,126.9825333,서울특별시 중구 남대문로2가
남대문시장,37.5612667,126.97995,서울특별시 중구 남대문로3가
북창동.남대문시장,37.5612,126.9781833,서울특별시 중구 남대문로3가
남대문시장앞.이회영활동터,37.5610167,126.9787333,서울특별시 중구 남대문로3가
한국은행.신세계앞,37.56145,126.9792833,서울특별시 중구 남대문로3가
남대문로3가(경유),37.56105,126.9789833,서울특별시 중구 남대문로3가
북창동.남대문시장,37.5609667,126.9771667,서울특별시 중구 남대문로4가
숭례문교차로(경유),37.5603667,126.9754333,서울특별시 중구 남대문로4가
숭례문(중),37.5584667,126.9736833,서울특별시 중구 남대문로5가
숭례문,37.5581167,126.9731167,서울특별시 중구 남대문로5가
숭례문.한국일보,37.5588,126.97375,서울특별시 중구 남대문로5가
후암삼거리,37.5533833,126.9760833,서울특별시 중구 남대문로5가
숭례문,37.5587833,126.9744,서울특별시 중구 남대문로5가
숭례문,37.55845,126.9741,서울특별시 중구 남대문로5가
숭례문,37.558,126.9737,서울특별시 중구 남대문로5가
남대문경찰서,37.5540333,126.9737167,서울특별시 중구 남대문로5가
서울역교차로(경유),37.5571,126.9726333,서울특별시 중구 남대문로5가
서울역,37.55805,126.97205,서울특별시 중구 봉래동1가
숭례문(경유),37.5598,126.9744667,서울특별시 중구 봉래동1가
서울역버스환승센터,37.5555167,126.9725,서울특별시 중구 봉래동2가
서울역버스환승센터(5번승강장)(중),37.55515,126.9726833,서울특별시 중구 봉래동2가
서울역버스환승센터(6번승강장)(중),37.55515,126.9727333,서울특별시 중구 봉래동2가
서울역버스환승센터.강우규의거터,37.5555167,126.9730667,서울특별시 중구 봉래동2가
서울역,37.55815,126.97135,서울특별시 중구 봉래동2가
서울스퀘어앞,37.5553833,126.9732667,서울특별시 중구 봉래동2가
서울역,37.557206,126.971821,인천광역시 중구 봉래동2가
남산3호터널,37.5585333,126.9826833,서울특별시 중구 회현동2가
남산3호터널.서울애니메이션센터,37.5595,126.9827,서울특별시 중구 회현동2가
신세계백화점,37.5608,126.9815167,서울특별시 중구 충무로1가
남대문세무서(중),37.5649667,126.9875333,서울특별시 중구 저동1가
국가인권위.안중근활동터(중),37.5643167,126.98785,서울특별시 중구 저동1가
명동성당,37.5650167,126.9873833,서울특별시 중구 저동1가
남산1호터널,37.5574,126.9922,서울특별시 중구 예장동
남산1호터널TG(경유),37.5557,126.9927167,서울특별시 중구 예장동
남산1호터널TG(경유),37.55585,126.99315,서울특별시 중구 예장동
을지로6가.국립중앙의료원,37.5661333,127.0063667,서울특별시 중구 을지로6가
을지로6가.국립중앙의료원,37.5665,127.0058333,서울특별시 중구 을지로6가
동대문역사문화공원,37.5672833,127.0088,서울특별시 중구 을지로7가
동대문역사문화공원,37.5654833,127.0091167,서울특별시 중구 을지로7가
을지로4가,37.5666833,126.9962167,서울특별시 중구 을지로4가
을지로4가.베스트웨스턴국도,37.5664333,126.9968333,서울특별시 중구 을지로4가
방산시장.을지로4가역6번출구,37.56685,126.99925,서울특별시 중구 을지로4가
을지로5가.중부시장,37.5666667,127.0011,서울특별시 중구 을지로5가
방산종합시장,37.5678333,127.0019167,서울특별시 중구 방산동
을지로3가,37.5663833,126.9903667,서울특별시 중구 을지로3가
을지로3가,37.5661667,126.9912833,서울특별시 중구 을지로3가
충무아트센터.스포츠센터.중부소방서,37.5652333,127.0140333,서울특별시 중구 신당동
신당역.중앙시장앞,37.56555,127.0194333,서울특별시 중구 신당동
성동고등학교,37.56525,127.0225333,서울특별시 중구 신당동
신당파인힐하나유보라,37.56495,127.02485,서울특별시 중구 신당동
충무아트센터.스포츠센터.중부소방서,37.5650667,127.0147333,서울특별시 중구 무학동
신당역.중앙시장앞,37.5657667,127.0187333,서울특별시 중구 황학동
성동고등학교,37.5656,127.02205,서울특별시 중구 황학동
시청서소문2청사,37.56325,126.9748833,서울특별시 중구 서소문동
시청.서소문청사,37.56355,126.9749667,서울특별시 중구 서소문동
시청앞.덕수궁,37.56625,126.9768833,서울특별시 중구 정동
염천교사거리(경유),37.55935,126.9716667,서울특별시 중구 순화동
경찰서앞교차로(경유),37.5618667,126.97005,서울특별시 중구 순화동
경찰청.동북아역사재단,37.5630333,126.96915,서울특별시 중구 의주로1가
서대문경찰서.농협은행.유관순활동터,37.56495,126.9677333,서울특별시 중구 의주로1가
경찰청.동북아역사재단(중),37.5643,126.9680333,서울특별시 중구 의주로1가
경찰청.동북아역사재단(중),37.5624833,126.96925,서울특별시 중구 의주로1가
경찰청앞교차로(경유),37.56225,126.9698333,서울특별시 중구 의주로1가
서대문역교차로(경유),37.5655833,126.9672333,서울특별시 중구 의주로1가
서대문역사거리.농협중앙회,37.5668,126.9679167,서울특별시 중구 충정로1가
서울역서부,37.55705,126.9692,서울특별시 중구 중림동
종근당.충정로역,37.5596167,126.9644833,서울특별시 중구 중림동
충정로역,37.5596167,126.9645,서울특별시 중구 중림동
종근당.충정로역,37.559617,126.964556,인천광역시 중구 중림동
후암시장,37.5497833,126.9775333,서울특별시 용산구 후암동
용산중고,37.5468333,126.9783333,서울특별시 용산구 후암동
후암동종점,37.5467167,126.9809667,서울특별시 용산구 후암동
해방촌,37.53775,126.9865,서울특별시 용산구 용산동2가
녹사평역,37.5350833,126.9853333,서울특별시 용산구 용산동2가
용산구청,37.52965,126.9911333,서울특별시 용산구 용산동4가
